tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
VISL,VISLINK TECHNOLOGIES INC,31DEC2019,2019,23.604,14.375,9.229,28.942,-18.047,14
BWAY,BRAINSWAY LTD,31DEC2019,2019,38.736,14.516,24.22,23.101,-10.328,14
KTOV,KITOV PHARMA LTD,31DEC2019,2019,14.718,3.859,10.859,1.0,-5.85,14
CANF,CAN FITE BIOPHARMA,31DEC2019,2019,8.175,7.298,0.877,2.032,-9.587,12
ANCN,ANCHIANO THERAPEUTICS LTD,31DEC2019,2019,19.755,4.846,14.909,0.0,-27.124,14
TRPX,THERAPIX BIOSCIENCES LTD,31DEC2019,2019,1.154,1.14,0.014,0.0,-4.686,14
SBBP,STRONGBRIDGE BIOPHARMA PLC,31DEC2019,2019,117.638,45.447,72.191,21.712,-49.451,14
NTEC,INTEC PHARMA LTD,31DEC2019,2019,21.28,9.745,11.535,0.0,-47.599,14
LYB,LYONDELLBASELL INDUSTRIES NV,31DEC2019,2019,30435.0,22256.0,8063.0,34727.0,3390.0,11
CNHI,CNH INDUSTRIAL NV,31DEC2019,2019,47352.0,41196.0,6121.0,26149.0,1422.0,11
ZEAL,ZEALAND PHARMA AS,31DEC2019,2019,240.211,53.59,186.621,6.207,-85.833,14
VLRS,CONTROLADORA VUELA COMPANIA,31DEC2019,2019,3355.78,3062.607,293.173,1842.516,139.918,11
MYSZ,MY SIZE INC,31DEC2019,2019,2.958,1.907,1.051,0.063,-5.497,14
RDHL,REDHILL BIOPHARMA LTD,31DEC2019,2019,74.099,14.097,60.002,6.291,-42.304,14
BVXV,BIONDVAX PHARMACEUTICALS,31DEC2019,2019,33.51,52.343,-18.833,0.0,-31.612,14
PACD,PACIFIC DRILLING SA,31DEC2019,2019,2256.559,1187.728,1068.831,229.777,-556.465,11
SFET,SAFE-T GROUP LTD,31DEC2019,2019,17.837,15.06,2.777,3.284,-12.998,14
FRSX,FORESIGHT AUTONOMOUS,31DEC2019,2019,19.334,3.046,16.288,0.0,-15.439,14
APOP,CELLECT BIOTECHNOLOGY LTD,31DEC2019,2019,6.172,1.877,4.295,0.0,-4.866,14
